,ticker,Data da Informação sobre detalhamento do número de cotistas¹,Número de cotistas,Pessoa física,Pessoa jurídica não financeira,Banco comercial,Corretora ou distribuidora,Outras pessoas jurídicas financeiras,Investidores não residentes,Entidade aberta de previdência complementar,Entidade fechada de previdência complementar,Regime próprio de previdência dos servidores públicos,Sociedade seguradora ou resseguradora,Sociedade de capitalização e de arrendamento mercantil,Fundos de investimento imobiliário,Outros fundos de investimento,Cotistas de distribuidores do fundo (distribuição por conta e ordem),Outros tipos de cotistas não relacionados,Ativo – R$,Patrimônio Líquido – R$,Número de Cotas Emitidas,Valor Patrimonial das Cotas – R$,Despesas com a taxa de administração em relação ao patrimônio líquido do mês (%),Despesas com o agente custodiante em relação ao patrimônio líquido do mês (%),Rentabilidade Efetiva Mensal (%),Rentabilidade Patrimonial do Mês de Referência² (%),Dividend Yield do Mês de Referência³ (%),Amortizações de cotas do Mês de Referência⁴ (%),Informações do Ativo,"Total mantido para as Necessidades de Liquidez (art. 46, § único, ICVM 472/08)",Disponibilidades,Títulos Públicos,Títulos Privados,Fundos de Renda Fixa,Total investido,Direitos reais sobre bens imóveis,Terrenos,Imóveis para Renda Acabados,Imóveis para Renda em Construção,Imóveis para Venda Acabados,Imóveis para Venda em Construção,Outros direitos reais,Ações,Debêntures,"Bônus de Subscrição, seus cupons, direitos, recibos de subscrição e certificados de desdobramentos",Certificados de Depósitos de Valores Mobiliários,Fundo de Ações (FIA),Fundo de Investimento em Participações (FIP),Fundo de Investimento Imobiliário (FII),Fundo de Investimento em Direitos Creditórios (FIDC),Outras cotas de Fundos de Investimento,Notas Promissórias,Notas Comerciais,Ações de Sociedades cujo único propósito se enquadra entre as atividades permitidas aos FII,Cotas de Sociedades que se enquadre entre as atividades permitidas aos FII,Certificados de Potencial Adicional de Construção (CEPAC),"Certificado de Recebíveis Imobiliários ""CRI"" (se FIAGRO, Certificado de Recebíveis do Agronegócio ""CRA"")",Letras Hipotecárias,"Letras de Crédito Imobiliário ""LCI"" (se FIAGRO, Letras de Crédito do Agronegócio ""LCA"")",Letra Imobiliária Garantida (LIG),Outros Valores Mobiliários,Valores a Receber,Contas a Receber por Aluguéis,Contas a Receber por Venda de Imóveis,Outros Valores a Receber,Informações do Passivo,Rendimentos a distribuir,Taxa de administração a pagar,Taxa de performance a pagar,Obrigações por aquisição de imóveis,Adiantamento por venda de imóveis,Adiantamento de valores de aluguéis,Obrigações por securitização de recebíveis,Instrumentos financeiros derivativos,Provisões para contingências,Outros valores a pagar,"Provisões por garantias prestadas (fiança, aval, aceite ou outra coobrigação)",Total dos Passivos,Valor total dos imóveis objeto de ônus reais,Valor total das garantias prestadas com operacões da classe,"Valor total das garantias prestadas com operações de cotistas (art. 32, § 3º, Anexo normativo III)",Cédulas de Debêntures,Total do passivo,Certificado de Recebíveis Imobiliários (CRI),Letras de Crédito Imobiliário (LCI),Data,Ano_Quarter
0,AAZQ,30/09/2024,30.136,30.08,46.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"211.012.672,91","208.485.205,84","24.037.284,0000","8,673409","0,1007%","0,0000%","0,8418%","-0,2508%",1.0926,"0,0000%",Valor (R$),"2.676.507,92","0,00","0,00","0,00","2.676.507,92","206.218.299,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.193.529,60","65.573.500,57","0,00","0,00","0,00","0,00","0,00","0,00","136.451.269,33","0,00","0,00","0,00","0,00","2.117.865,49","0,00","0,00","2.117.865,49",Valor (R$),"2.283.541,98","209.977,92","0,00","0,00","0,00","0,00","0,00","0,00","0,00","33.947,17","0,00","2.527.467,07","0,00","0,00","0,00",0,0,0,0,2024-09-30 00:00:00,2024.0-3.0
1,AAZQ,30/08/2024,29.754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"211.542.657,59","209.009.353,80","24.037.284,0000","8,695215","0,1053%","0,0000%","1,1589%","0,0656%",1.0933,"0,0000%",Valor (R$),"1.061.445,26","0,00","0,00","0,00","1.061.445,26","208.360.286,94","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.351.776,00","72.701.418,91","0,00","0,00","0,00","0,00","0,00","0,00","131.307.092,03","0,00","0,00","0,00","0,00","2.120.925,39","0,00","0,00","2.120.925,39",Valor (R$),"2.283.541,98","220.014,64","0,00","0,00","0,00","0,00","0,00","0,00","0,00","29.747,17","0,00","2.533.303,79","0,00","0,00","0,00",0,0,0,0,2024-08-30 00:00:00,2024.0-3.0
2,AAZQ,31/07/2024,29.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"211.411.097,30","208.872.390,55","24.037.284,0000","8,689517","0,1100%","0,0000%","1,2040%","0,1095%",1.0945,"0,0000%",Valor (R$),"12.577.703,45","0,00","0,00","0,00","12.577.703,45","196.710.221,88","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.272.652,80","72.140.850,72","0,00","0,00",0,"0,00","0,00","0,00","120.296.718,36","0,00","0,00","0,00","0,00","2.123.171,97","0,00","0,00","2.123.171,97",Valor (R$),"2.283.541,98","229.817,60","0,00","0,00","0,00","0,00","0,00","0,00","0,00","25.347,17",0,0,0,0,0,"0,00","2.538.706,75",0,0,2024-07-31 00:00:00,2024.0-3.0
3,AAZQ,28/06/2024,27.954,27.899,48.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"211.509.251,93","208.644.020,51","24.037.284,0000","8,680016","0,0982%","0,0000%","-6,8231%","-7,9891%",1.166,"0,0000%",Valor (R$),"3.542.933,91","0,00","0,00","0,00","3.542.933,91","205.839.794,74","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.183.639,20","64.210.190,22","0,00","0,00",0,"0,00","0,00","0,00","137.445.965,32","0,00","0,00","0,00","0,00","2.126.523,28","0,00","0,00","2.126.523,28",Valor (R$),"2.644.101,24","204.930,18","0,00","0,00","0,00","0,00","0,00","0,00","0,00","16.200,00",0,0,0,0,0,"0,00","2.865.231,42",0,0,2024-06-28 00:00:00,2024.0-2.0
4,AAZQ,31/05/2024,28.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"229.687.861,29","226.760.194,13","24.037.284,0000","9,433686","0,1006%","0,0000%","1,1158%","-0,0497%",1.1655,"0,0000%",Valor (R$),"5.774.649,09","0,00","0,00","0,00","5.774.649,09","221.784.733,76","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.282.543,20","76.648.099,68","0,00","0,00",0,"0,00","0,00","0,00","140.854.090,88","0,00","0,00","0,00","0,00","2.128.478,44","0,00","0,00","2.128.478,44",Valor (R$),"2.665.477,08","228.135,76","0,00","0,00","0,00","0,00","0,00","0,00","0,00","34.054,32",0,0,0,0,0,"0,00","2.927.667,16",0,0,2024-05-31 00:00:00,2024.0-2.0
5,AAZQ,30/04/2024,28.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"229.811.160,60","226.872.860,48","24.037.284,0000","9,438373","0,1071%","0,0000%","-0,5119%","-1,6580%",1.1461,"0,0000%",Valor (R$),"3.946.011,37","0,00","0,00","0,00","3.946.011,37","223.764.351,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.302.324,00","76.508.607,86","0,00","0,00",0,"0,00","0,00","0,00","142.953.419,84","0,00","0,00","0,00","0,00","2.100.797,53","0,00","0,00","2.100.797,53",Valor (R$),"2.665.477,08","242.968,72","0,00","0,00","0,00","0,00","0,00","0,00","0,00","29.854,32",0,0,0,0,0,"0,00","2.938.300,12",0,0,2024-04-30 00:00:00,2024.0-2.0
6,AAZQ,28/03/2024,28.689,28.617,66.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"233.839.553,59","230.697.772,13","24.037.284,0000","9,597497","0,0958%","0,0000%","1,1802%","-0,0693%",1.2495,"0,0000%",Valor (R$),"505.069,63","0,00","0,00","0,00","505.069,63","233.244.247,18","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.475.406,00","73.738.202,72","0,00","0,00",0,"0,00","0,00","0,00","155.030.638,46","0,00","0,00","0,00","0,00","90.236,78","0,00","0,00","90.236,78",Valor (R$),"2.884.474,08","221.063,22","0,00","0,00","0,00","0,00","0,00","0,00","0,00","36.244,16",0,0,0,0,0,"0,00","3.141.781,46",0,0,2024-03-28 00:00:00,2024.0-1.0
7,AAZQ,29/02/2024,27.598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"233.994.419,91","230.857.797,15","24.037.284,0000","9,604155","0,0911%","0,0000%","0,9629%","-0,2830%",1.2459,"0,0000%",Valor (R$),"26.376.533,58","0,00","0,00","0,00","26.376.533,58","207.617.791,35","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.351.776,00","54.399.277,62","0,00","0,00",0,"0,00","0,00","0,00","148.866.737,73","0,00","0,00","0,00","0,00","94,98","0,00","0,00","94,98",Valor (R$),"2.884.474,08","210.421,20","0,00","0,00","0,00","0,00","0,00","0,00","0,00","41.727,48",0,0,0,0,0,"0,00","3.136.622,76",0,0,2024-02-29 00:00:00,2024.0-1.0
8,AAZQ,31/01/2024,26.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"234.672.941,38","231.513.087,29","24.037.284,0000","9,631416","0,1055%","0,0000%","1,1110%","-0,1333%",1.2443,"0,0000%",Valor (R$),"6.200.804,03","52,84","0,00","0,00","6.200.751,19","228.472.042,37","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.529.803,20","75.326.734,48","0,00","0,00",0,"0,00","0,00","0,00","148.615.504,69","0,00","0,00","0,00","0,00","94,98","0,00","0,00","94,98",Valor (R$),"2.884.474,08","244.287,16","0,00","0,00","0,00","0,00","0,00","0,00","0,00","31.092,85",0,0,0,0,0,"0,00","3.159.854,09",0,0,2024-01-31 00:00:00,2024.0-1.0
9,AAZQ,29/12/2023,23.739,23.678,0.0,0.0,0.0,52.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,"235.308.895,36","231.822.163,06","24.037.284,0000","9,644274","0,0958%","0,0000%","1,1600%","-0,0832%",1.2432,"0,0000%",Valor (R$),"410.857,75","52,84","0,00","0,00","410.804,91","234.897.942,63","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","4.688.049,60","76.949.517,70","0,00","0,00",0,"0,00","0,00","0,00","153.260.375,33","0,00","0,00","0,00","0,00","94,98","0,00","0,00","94,98",Valor (R$),"2.884.474,08","222.148,26","355.388,87","0,00","0,00","0,00","0,00","0,00","0,00","24.721,09",0,0,0,0,0,"0,00","3.486.732,30",0,0,2023-12-29 00:00:00,2023.0-4.0
