Price,Close,High,Low,Open,Volume
Ticker,DCRA11.SA,DCRA11.SA,DCRA11.SA,DCRA11.SA,DCRA11.SA
Date,,,,,
2022-02-08,6.643743991851807,6.715745560481328,6.329557371686594,6.552106539753615,32712
2022-02-09,6.480105400085449,6.676472362804207,6.381922230842753,6.676472362804207,12299
2022-02-10,6.506287574768066,6.571743436628723,6.480105354870477,6.480105354870477,4051
2022-02-11,6.519377708435059,6.545559923158363,6.447376774004283,6.506286288956788,7255
2022-02-14,6.480105400085449,6.545561262402824,6.480105400085449,6.539015551324413,3657
2022-02-15,6.539015293121338,6.545561003941281,6.408104197889181,6.539015293121338,8207
2022-02-16,6.539015293121338,6.539015293121338,6.47356005762193,6.5324695823013945,6772
2022-02-17,6.525924205780029,6.532469292075845,6.408103913188955,6.532469292075845,16949
2022-02-18,6.512833595275879,6.519379306619655,6.506287883932104,6.519379306619655,1686
2022-02-21,6.480105400085449,6.512833331244137,6.349194299684066,6.512833331244137,36188
2022-02-22,6.4081034660339355,6.512832330258811,6.316465397720535,6.48010440413022,20850
2022-02-23,6.447378635406494,6.460469434430929,6.349194833672842,6.414650701495276,19647
2022-02-24,6.434286117553711,6.460468335381907,6.303375028412737,6.40155818921014,15089
2022-02-25,6.355741024017334,6.440833408902305,6.2968308633867025,6.440833408902305,5884
2022-03-02,6.4146504402160645,6.4408326614319105,6.355740286422065,6.355740286422065,5970
2022-03-03,6.349194526672363,6.427741189721294,6.316466594343629,6.4211961026422575,4451
2022-03-04,6.4146504402160645,6.434286950069601,6.349194575059754,6.434286950069601,13264
2022-03-07,6.480105400085449,6.539015551324413,6.349194299684066,6.440832382081717,48294
2022-03-08,6.447378635406494,6.447378635406494,6.388468479212986,6.421196413124203,5083
2022-03-09,6.381922245025635,6.414650176257055,6.368830822839719,6.388467956118592,7877
2022-03-10,6.480105400085449,6.480105400085449,6.401558739844619,6.427740959924896,6398
2022-03-11,6.434286117553711,6.499741974240855,6.375375971381945,6.4801048426947245,95029
2022-03-14,6.349194526672363,6.539015785098958,6.349194526672363,6.499742765691187,21348
2022-03-15,6.36228609085083,6.519379420443838,6.296830224737042,6.349194667934712,11037
2022-03-16,6.447378635406494,6.460469434430929,6.349194833672842,6.414650701495276,5698
2022-03-17,6.4866509437561035,6.50628745225119,6.349194135823801,6.421195707361367,7164
2022-03-18,6.4146504402160645,6.499742815225911,6.368831084913291,6.499742815225911,5398
2022-03-21,6.447378635406494,6.480105945084293,6.3753770559551315,6.414650701495276,1614
2022-03-22,6.467015266418457,6.4801060656865275,6.375377174608241,6.4801060656865275,6226
2022-03-23,6.421193599700928,6.447375810511575,6.3491920517967895,6.447375810511575,15633
2022-03-24,6.440832614898682,6.473560547240387,6.362285951818624,6.473560547240387,12171
2022-03-25,6.4081034660339355,6.453922188074,6.381921249977717,6.434285682090154,7575
2022-03-28,6.427740573883057,6.480105010898669,6.375376136867444,6.453922792390863,7983
2022-03-29,6.480105400085449,6.480105400085449,6.401558739844619,6.447378093160128,10970
2022-03-30,6.395013809204102,6.480105558368426,6.395013809204102,6.480105558368426,18534
2022-03-31,6.447378635406494,6.480105945084293,6.395014190841914,6.480105945084293,11213
2022-04-01,6.480105400085449,6.480105400085449,6.408104450923029,6.473560313240404,7710
2022-04-04,6.480105400085449,6.49319682224227,6.440832382081717,6.480105400085449,3897
2022-04-05,6.473561763763428,6.539017016513914,6.4473795378165315,6.480106852075022,13777
2022-04-06,6.545560836791992,6.545560836791992,6.453922760352907,6.473559892311278,17010
2022-04-07,6.611017227172852,6.611017227172852,6.539015652661239,6.54556136384109,57500
2022-04-08,6.5579705238342285,6.730373711280056,6.5579705238342285,6.584494139777655,16997
2022-04-11,6.571231842041016,6.63091013443055,6.571231842041016,6.6242790725266305,5211
2022-04-12,6.624278545379639,6.630909606755871,6.57786238049165,6.57786238049165,6021
2022-04-13,6.611017227172852,6.624278717897871,6.577862551801051,6.624278717897871,2199
2022-04-14,6.564599514007568,6.611016306009619,6.538075903880431,6.611016306009619,21779
2022-04-18,6.597754955291748,6.611017078090534,6.531446238416282,6.604386016691142,14043
2022-04-19,6.551339149475098,6.611017440596367,6.531446596558959,6.597755317070371,19859
2022-04-20,6.577861785888672,6.597754335846372,6.531445625196452,6.597754335846372,17234
2022-04-22,6.564599514007568,6.57786163525751,6.531445475628207,6.57786163525751,8750
