Price,Close,High,Low,Open,Volume
Ticker,KOPA11.SA,KOPA11.SA,KOPA11.SA,KOPA11.SA,KOPA11.SA
Date,,,,,
2024-01-04,887.2661743164062,887.2661743164062,877.4597830085105,877.4597830085105,187
2024-01-05,953.7606811523438,953.7606811523438,884.3962679776278,884.3962679776278,28
2024-01-08,952.8934326171875,952.8934326171876,952.8934326171876,952.8934326171876,49
2024-01-09,949.4254760742188,952.0266417620934,880.0610577308969,952.0266417620934,139
2024-01-10,886.1303100585938,886.1303100585938,882.662089666975,884.578300484848,92
2024-01-11,880.0609130859375,885.2632436066425,880.0609130859375,885.2632436066425,198
2024-01-12,879.19384765625,879.19384765625,877.4597375030819,879.19384765625,61
2024-01-15,877.4598388671875,879.1939492206799,877.4598388671875,879.1939492206799,83
2024-01-16,866.7783203125,877.2847241950758,866.7783203125,877.2847241950758,36
2024-01-17,855.396240234375,863.2760418332587,855.396240234375,862.4442743101561,435
2024-01-18,853.5577392578125,862.3918434727044,849.9680193875331,856.7184027702434,278
2024-01-19,863.2673950195312,863.2761589059617,853.5577569913794,853.5577569913794,50
2024-01-22,858.0230102539062,862.8384455155353,852.866104030343,862.8384455155353,103
2024-01-23,852.7697143554688,857.0598503102069,849.7053467987499,857.0598503102069,79
2024-01-24,852.7610473632812,852.7610473632812,852.7610473632812,852.7610473632812,19
2024-01-25,862.8119506835938,862.8119506835938,848.3919399551837,852.3406044900397,71
2024-01-26,862.8119506835938,862.8119506835938,849.3112394191735,849.3112394191735,298
2024-01-29,858.0230102539062,858.0230102539062,856.2719428860411,857.1474765699737,133
2024-01-30,849.2850341796875,858.0228415268089,849.2850341796875,858.0228415268089,17
2024-01-31,840.5298461914062,853.6453233931178,840.5298461914062,849.3114210636089,150
2024-02-01,840.5560913085938,858.0229987566642,840.5386169732171,840.5560913085938,152
2024-02-02,858.00537109375,858.00537109375,831.7568917572953,840.5647573366869,217
2024-02-05,857.9266967773438,857.9354606641369,857.9266967773438,857.9354606641369,18
2024-02-06,857.8038940429688,857.8126579275634,849.2674429412398,857.8126579275634,5
2024-02-07,849.2676391601562,858.0229756463434,849.2676391601562,857.6289748167984,135
2024-02-08,858.0230102539062,858.0230102539062,858.0142463669333,858.0142463669333,22
2024-02-09,862.4005737304688,862.4005737304688,861.5250401530774,861.5250401530774,20
2024-02-14,862.4005737304688,862.4005737304688,862.4005737304688,862.4005737304688,2
2024-02-15,862.4005737304688,862.4005737304688,861.3499227499334,861.3499227499334,333
2024-02-16,862.4005737304688,862.4005737304688,823.0786609584517,862.4005737304688,70
2024-02-19,870.870361328125,870.870361328125,858.4799293580094,870.3658872586107,264
